"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"03 Jul 2023","FUTCOM","ALUMINI      ","31JUL2023","-","0.00","196.40","197.70","194.90","195.75","196.05","1670","1670.000 KGS  ","3268.14","3218"
"03 Jul 2023","FUTCOM","ALUMINI      ","31AUG2023","-","0.00","197.85","198.00","196.45","197.65","197.65","115","115.000 KGS  ","226.88","108"
"03 Jul 2023","FUTCOM","ALUMINI      ","29SEP2023","-","0.00","","","","199.40","199.10","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","FUTCOM","ALUMINI      ","31OCT2023","-","0.00","","","","201.35","200.75","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","FUTCOM","ALUMINI      ","30NOV2023","-","0.00","","","","203.20","200.75","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","FUTCOM","ALUMINIUM    ","31JUL2023","-","0.00","196.25","196.65","194.65","195.65","195.85","1383","6915.000 KGS  ","13512.17","4142"
"03 Jul 2023","FUTCOM","ALUMINIUM    ","31AUG2023","-","0.00","197.45","197.60","196.05","196.80","197.20","72","360.000 KGS  ","708.58","184"
"03 Jul 2023","FUTCOM","ALUMINIUM    ","29SEP2023","-","0.00","","","","197.85","198.45","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","FUTCOM","ALUMINIUM    ","31OCT2023","-","0.00","","","","199.05","199.85","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","FUTCOM","ALUMINIUM    ","30NOV2023","-","0.00","","","","200.15","199.85","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","740.00","","","","2.70","2.70","0","0.000 KGS  ","0.00","3"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","740.00","","","","27.92","27.92","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","745.00","","","","1.19","1.19","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","745.00","","","","32.32","32.32","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","750.00","","","","2.26","2.26","0","0.000 KGS  ","0.00","4"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","750.00","","","","40.50","40.50","0","0.000 KGS  ","0.00","1"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","755.00","","","","0.49","0.49","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","755.00","","","","41.58","41.58","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","760.00","","","","2.97","2.97","0","0.000 KGS  ","0.00","2"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","760.00","","","","46.37","46.37","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","765.00","","","","0.18","0.18","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","765.00","","","","51.23","51.23","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","770.00","","","","0.11","0.11","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","770.00","","","","56.14","56.14","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","775.00","","","","0.06","0.06","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","775.00","","","","61.07","61.07","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","780.00","","","","0.03","0.03","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","780.00","","","","66.03","66.03","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","785.00","","","","0.02","0.02","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","785.00","","","","70.99","70.99","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","790.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","790.00","","","","75.96","75.96","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","795.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","795.00","","","","80.94","80.94","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","800.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","PE","800.00","","","","85.92","85.92","0","0.000 KGS  ","0.00","0"
"03 Jul 2023","OPTFUT","COPPER       ","20JUL2023","CE","805.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
