Confirmed list of securities to be auctioned in A 2023128 to be held on Jul 11 2023.

Sr No,Symbol,Series,Total Qty
1,3IINFOLTD,EQ,65
2,ABCAPITAL,EQ,15
3,ABSLAMC,EQ,173
4,ABSLLIQUID,EQ,24
5,ADVENZYMES,EQ,100
6,AGI,EQ,4
7,AHLEAST,EQ,291
8,AHLUCONT,EQ,1
9,ALOKINDS,EQ,6591
10,ANGELONE,EQ,41
11,APEX,EQ,47
12,APOLLOTYRE,EQ,197
13,ARIHANTSUP,EQ,2
14,ARVSMART,EQ,187
15,ASHIANA,EQ,281
16,ASHOKA,EQ,100
17,ASHOKLEY,EQ,180
18,AUROPHARMA,EQ,50
19,AURUMPP,E1,7
20,AUTOIND,EQ,48
21,AVADHSUGAR,EQ,5
22,AVANTIFEED,EQ,50
23,AVG,EQ,8
24,AVROIND,EQ,7
25,AXISBANK,EQ,8
26,AXISCETF,EQ,293
27,BAGFILMS,EQ,1535
28,BAIDFIN,EQ,28
29,BAJAJ-AUTO,EQ,20
30,BAJAJHLDNG,EQ,1
31,BALRAMCHIN,EQ,2762
32,BANCOINDIA,EQ,50
33,BANKINDIA,EQ,275
34,BBETF0432,EQ,23
35,BEPL,EQ,2499
36,BHARATWIRE,EQ,80
37,BODALCHEM,EQ,11
38,BOSCHLTD,EQ,72
39,BURNPUR,EQ,6327
40,CAMPUS,EQ,14
41,CASTROLIND,EQ,38
42,CCL,EQ,1151
43,CDSL,EQ,17
44,CENTRALBK,EQ,100
45,CENTRUM,EQ,500
46,CHEMCON,EQ,8
47,CHEMPLASTS,EQ,1
48,CHEVIOT,EQ,1
49,CINELINE,EQ,2
50,CIPLA,EQ,8
51,CLEAN,EQ,101
52,COALINDIA,EQ,1
53,COMPUSOFT,EQ,3
54,COROMANDEL,EQ,128
55,COSMOFIRST,EQ,14
56,COUNCODOS,EQ,100
57,CRAFTSMAN,EQ,250
58,CSLFINANCE,EQ,1
59,CUMMINSIND,EQ,91
60,CYIENT,EQ,20
61,CYIENTDLM,EQ,1594
62,DABUR,EQ,200
63,DBOL,EQ,100
64,DEEPAKFERT,EQ,100
65,DELTACORP,EQ,2951
66,DHARMAJ,EQ,7
67,DISHTV,EQ,192915
68,DLF,EQ,50
69,DMCC,EQ,6
70,DOLATALGO,EQ,10
71,DONEAR,EQ,127
72,DSPGOLDETF,EQ,8
73,DSPQ50ETF,EQ,142
74,DSSL,EQ,399
75,DYNAMATECH,EQ,50
76,DYNPRO,EQ,18
77,EASEMYTRIP,EQ,1250
78,EBBETF0430,EQ,100
79,EIHAHOTELS,EQ,6
80,ELGIEQUIP,EQ,100
81,ELIN,EQ,14
82,EMIL,EQ,3
83,EMUDHRA,EQ,5
84,ENGINERSIN,EQ,808
85,ESCORTS,EQ,29
86,ESTER,EQ,48
87,EUROBOND,SM,1000
88,EXCELINDUS,EQ,1
89,EXIDEIND,EQ,500
90,FACT,EQ,20
91,FAZE3Q,EQ,272
92,FEDERALBNK,EQ,2
93,FINOPB,EQ,10
94,FOCUS,EQ,617
95,FORTIS,EQ,500
96,GABRIEL,EQ,100
97,GALLANTT,EQ,35
98,GENUSPAPER,EQ,1
99,GENUSPOWER,EQ,60
100,GMRINFRA,EQ,3
101,GMRP&UI,EQ,137
102,GODREJPROP,EQ,1234
103,GOODYEAR,EQ,5
104,GPIL,EQ,1
105,GPPL,EQ,311
106,GRMOVER,EQ,42
107,GSLSU,EQ,100
108,GSS,EQ,15
109,GTLINFRA,EQ,11500
110,GULFOILLUB,EQ,5
111,GULPOLY,EQ,117
112,HCLTECH,EQ,3
113,HDFCLIFE,EQ,175
114,HFCL,EQ,5000
115,HINDALCO,EQ,5
116,HINDZINC,EQ,243
117,HISARMETAL,EQ,2
118,HITECH,EQ,49
119,HLEGLAS,EQ,6
120,HLVLTD,EQ,900
