MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AC,IBULHSGFIN,SEC RE NCD 9.25% SR.II,       980.00,       980.00,       980.00,       980.00,       980.00,                     9800.00,10, ,1,      1198.80,       855.00
N,AN,IBULHSGFIN,SEC RE NCD 9.71% SR.VIII,       955.00,       955.00,       955.00,       955.00,       955.00,                    10505.00,11, ,2,       999.00,       805.10
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       259.34,       258.00,       258.00,       253.60,       258.00,                     6904.42,27, ,6,       265.98,       215.15
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       260.21,       254.56,       259.99,       254.56,       259.90,                    14958.57,58, ,6,       261.37,       243.71
N,N1,M&MFIN,8.72% UNSECURED NCD,      1023.80,      1015.00,      1015.00,      1015.00,      1015.00,                   101500.00,100, ,1,      1187.00,       972.40
N,N1,NAVIFIN,SEC RE NCD 9.20% SR. I,       997.00,       996.00,       996.70,       996.00,       996.50,                    68733.90,69, ,8,      1005.00,       980.00
N,N1,NHIT,SEC RE NCD 7.90% STRPP A,       309.90,       309.01,       314.80,       309.01,       310.50,                   423484.60,1366, ,8,       318.79,       298.21
N,N1,NTPC,8.41%S-R-NCD SERIES 1A,      1058.00,      1058.00,      1058.00,      1058.00,      1058.00,                   105800.00,100, ,1,      1315.00,      1025.20
N,N1,UGROCAP,SEC RED NCD 10.03%,       331.00,       340.00,       355.00,       340.00,       350.50,                    70302.50,202, ,8,      1008.00,       320.00
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1120.00,      1116.00,      1120.00,      1116.00,      1120.00,                   199160.00,178, ,6,      1350.00,      1005.99
N,N2,IIFCL,8.66% TAX FREE NCD,      1049.06,      1055.00,      1055.00,      1055.00,      1055.00,                    26375.00,25, ,1,      1200.00,      1017.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       259.00,       262.98,       262.98,       252.29,       255.00,                     8911.62,35, ,5,       284.00,       245.10
N,N2,INCREDFIN,SEC RE NCD 9.25% SR.II,      1020.00,      1020.00,      1020.00,      1020.00,      1020.00,                    20400.00,20, ,2,      1105.00,       901.00
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1149.98,      1150.00,      1150.01,      1150.00,      1150.00,                  1184500.25,1030, ,8,      1195.00,      1099.80
N,N2,M&MFIN,9.00% UNSECURED NCD,      1032.00,      1023.50,      1024.16,      1023.50,      1024.16,                   107533.50,105, ,2,      1159.00,      1017.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1144.00,      1145.00,      1150.00,      1145.00,      1150.00,                  6670657.45,5823, ,24,      1213.00,      1117.00
N,N2,NAVIFIN,SEC RE NCD 9.50% SR. II,       992.00,       990.00,       990.00,       990.00,       990.00,                    99000.00,100, ,1,      1062.00,       980.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1159.74,      1160.00,      1161.00,      1159.76,      1160.43,                   435041.12,375, ,11,      1223.80,      1060.10
N,N2,NHIT,SEC RE NCD 7.90% STRPP B,       310.31,       311.00,       311.00,       310.36,       310.40,                   819752.20,2640, ,17,       320.21,       298.66
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1116.17,      1116.15,      1122.00,      1116.15,      1122.00,                   179162.80,160, ,5,      1172.00,      1077.14
N,N3,BRITANNIA,UNSEC RED NCD 5.50%,        28.31,        28.18,        28.49,        28.18,        28.30,                   140894.80,4978, ,118,        31.00,        28.00
N,N3,CREDITACC,SEC RE NCD 9.60% SR. III,      1014.75,      1014.05,      1015.00,      1014.05,      1014.05,                   273841.70,270, ,5,      1036.70,       970.00
N,N3,NAVIFIN,SEC RE NCD 9.40% SR. III,       991.00,       991.00,       991.00,       991.00,       991.00,                   113965.00,115, ,4,      1150.00,       986.00
N,N3,NHIT,SEC RE NCD 7.90% STRPP C,       418.00,       418.01,       420.00,       418.01,       418.31,                   132500.50,316, ,6,       421.15,       399.56
N,N3,PFC,7.60% TAX FREE NCD,      1240.00,      1240.00,      1245.00,      1240.00,      1245.00,                    33515.00,27, ,2,      1294.99,      1153.00
