1,AARTIPHARM,INE0LRU01027,336.8,20
2,PONNIERODE,INE838E01017,378.45,22.43
3,HDFCSENSEX,INF179KC1973,719.56,6
4,DEEPAKNTR,INE288B01029,1932.5,20
5,THANGAMAYL,INE085J01014,1651.1,20
6,NAVNETEDUL,INE060A01024,132.4,20
7,RELINFRA,INE036A01016,136.8,21.89
8,NFL,INE870D01012,72.65,21.35
9,JAYAGROGN,INE785A01026,229,20
10,ICICINV20,INF109KB1WY5,109.32,20
11,MARUTI,INE585B01010,9900.15,9
12,SWANENERGY,INE665A01038,248.05,21.09
13,ALBERTDAVD,INE155C01010,662.4,20
14,ASAHISONG,INE228I01012,228.75,20
15,KMSUGAR,INE157H01023,26.2,20
16,SIGIND,INE529F01035,47.1,100
17,YUKEN,INE384C01016,636.45,20
18,RAJESHEXPO,INE343B01030,532.35,20
19,IGPL,INE204A01010,499.9,20
20,BLUESTARCO,INE472A01039,790.75,20
21,SGBJAN29IX,IN0020200377,5794.71,10
22,ITI,INE248A01017,108,20
23,RUSTOMJEE,INE263M01029,608.75,20
24,BECTORFOOD,INE495P01012,829.15,20
25,SGBMAR25,IN0020160126,5840,10
26,MOVALUE,INF247L01BE5,55.97,20
27,INDIAGLYCO,INE560A01015,616.9,20
28,TRIGYN,INE948A01012,108.85,20
29,VSTTILLERS,INE764D01017,2855.6,20
30,SGBSEP27,IN0020190115,5821,10
31,SKYGOLD,INE01IU01018,268.8,100
32,SGBNOV25VI,IN0020170083,5754.04,10
33,RECLTD,INE020B01018,169.4,20
34,AXISCETF,INF846K016C7,85.48,20
35,IDFNIFTYET,INF194KA1U07,207.21,7.74
36,SGBAUG27,IN0020190107,5879.48,10
37,VERANDA,INE0IQ001011,181.95,20
38,JUBLINDS,INE645L01011,535.6,20
39,PASUPTAC,INE818B01023,33.2,20
40,CENTRUM,INE660C01027,20.3,20
41,SGBMAY26,IN0020180033,5800,10
42,FLUOROCHEM,INE09N301011,2762.45,20
43,DHUNINV,INE320L01011,704.65,20
44,STARPAPER,INE733A01018,173.15,20
45,CHEMPLASTS,INE488A01050,436.6,20
46,PAGEIND,INE761H01022,36295.3,20
47,GOKULAGRO,INE314T01025,105.85,20.91
48,RUSHIL,INE573K01017,297.9,21.79
49,EICHERMOT,INE066A01021,3253.05,11.04
50,VISHNU,INE270I01022,332.2,20
51,GUJALKALI,INE186A01019,681.65,20
52,NMDC,INE584A01023,108,20
53,KIRLOSENG,INE146L01010,411.9,20
54,DHANI,INE274G01010,31.3,23.94
55,MOIL,INE490G01020,189.7,20
56,ANANTRAJ,INE242C01024,184.5,20.62
57,CREATIVE,INE985W01018,480.85,20
58,TIINDIA,INE974X01010,3220.3,20
59,HDFCNIF100,INF179KC1DB7,193.83,8.18
60,CHAMBLFERT,INE085A01013,272.4,20
61,PLASTIBLEN,INE083C01022,198.9,20
62,KIRLPNU,INE811A01020,688.05,20
63,SGBNOV25,IN0020170091,5803,10
64,RUCHIRA,INE803H01014,113.35,20
65,JSWHL,INE824G01012,4556.7,20
66,HSCL,INE019C01026,131.25,20
67,RCF,INE027A01015,116.85,20
68,NATHBIOGEN,INE448G01010,219.3,20
69,SANDHAR,INE278H01035,366.25,20
70,NCC,INE868B01028,127.4,20
71,WELSPUNIND,INE192B01031,95.25,20
