SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
KOTAKBKETF,BL,INF174K01F59,KOTAKMAMC-KOTAKBKETF,EF                                                                                                    
VF1DD,MF,INF903J011A5,SUNDARMAMC - VF1DD,EF                                                                                                           
CPSEETF,EQ,INF457M01133,CPSE ETF,EF                                                                                                                   
SMF541,MF,INF903J01M28,SUNDARMAMC - SMF541,EF                                                                                                         
T5RD,MF,INF903J019C4,SUNDARMAMC - T5RD,EF                                                                                                             
EC3DD,MF,INF903JA1DE9,SUNDARMAMC - EC3DD,EF                                                                                                           
MANXT50,BL,INF769K01FN2,MIRAEAMC - MANXT50,EF                                                                                                         
MAN50ETF,EQ,INF769K01EG9,MIRAEAMC - MAN50ETF,EF                                                                                                       
AJOONI-RE,BL,INE820Y20013,AJOONI BIOTECH LIMITED,RE                                                                                                   
MITTAL-RE,BE,INE997Y20019,MITTAL LIFE STYLE LIMITED,RE                                                                                                
HDFCNIF100,EQ,INF179KC1DB7,HDFCAMC - HDFCNIF100,EF                                                                                                    
IDFNIFTYET,EQ,INF194KA1U07,IDFCAMC - IDFNIFTYET,EF                                                                                                    
MOLOWVOL,BL,INF247L01BL0,MOTILALAMC - MOLOWVOL,EF                                                                                                     
MC1RG,MF,INF903JA1DR1,SUNDARMAMC - MC1RG,EF                                                                                                           
MC2RG,MF,INF903JA1ED9,SUNDARMAMC - MC2RG,EF                                                                                                           
M15RD,MF,INF903JA1AM8,SUNDARMAMC - M15RD,EF                                                                                                           
PNB-RE,BE,INE572E20012,PNB HOUSING FIN LTD.,RE                                                                                                        
IBULHSGFIN,W1,INE148I13017,INDIABULLS HSG FIN LTD,RE                                                                                                  
ASIAN-RE1,BL,INE022I20027,ASIAN GRANITO INDIA LIMIT,RE                                                                                                
ABSLBANETF,BL,INF209KB17D5,BIRLASLAMC - ABSLBANETF,EF                                                                                                 
HATSUN-RE,BE,INE473B20019,HATSUN AGRO PROD LTD-RE,RE                                                                                                  
ICICITECH,EQ,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                   
ICICI500,BL,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                     
GDL-RE,BL,INE852F20015,GATEWAY DISTRIPARKS RE,RE                                                                                                      
MAFSETF,BL,INF769K01HI8,MIRAEAMC - MAFSETF,EF                                                                                                         
542809,MF,INF204KB11F4,Nippon India Mutual Fund,EF                                                                                                    
542814,MF,INF204KB11G2,Nippon India Mutual Fund,EF                                                                                                    
542842,MF,INF204KB13F0,Nippon India Mutual Fund,EF                                                                                                    
542808,MF,INF204KB14E1,Nippon India Mutual Fund,EF                                                                                                    
542848,MF,INF204KB14F8,Nippon India Mutual Fund,EF                                                                                                    
542836,MF,INF204KB15E8,Nippon India Mutual Fund,EF                                                                                                    
542845,MF,INF204KB17G9,Nippon India Mutual Fund,EF                                                                                                    
542810,MF,INF204KB18E2,Nippon India Mutual Fund,EF                                                                                                    
542820,MF,INF204KB19G5,Nippon India Mutual Fund,EF                                                                                                    
LIBAS-RE,BE,INE908V20012,LIBAS CON PRODUCT LTD,RE                                                                                                     
DIL-RE,BE,INE411Y20011,DEBOCK INDUSTRIES LIMITED,RE                                                                                                   
HDFCLOWVOL,EQ,INF179KC1DN2,HDFCAMC - HDFCLOWVOL,EF                                                                                                    
KOTAKIT,BL,INF174KA1GC5,KOTAKMAMC - KOTAKIT,EF                                                                                                        
MID150BEES,EQ,INF204KB1V68,NIP IND ETF MIDCAP 150,EF                                                                                                  
NIF100BEES,EQ,INF204K014N5,NIP IND ETF NIFTY 100,EF                                                                                                   
