ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF903J01MJ3,04PD,GR,OMF,7.5,893.94
INF903J01MH7,05PD,DP,OMF,7.5,52.18
INF903J01MI5,05PD,DR,OMF,7.5,52.18
INF084M01044,1054,GR,OMF,7.5,26.55
INF084M01069,1055,DP,OMF,7.5,24.15
INF084M01051,1056,DP,OMF,7.5,24.15
INF084M01077,1057,GR,OMF,7.5,31.14
INF084M01093,1058,DP,OMF,7.5,27.93
INF084M01085,1059,DP,OMF,7.5,27.93
INF084M01101,1060,GR,OMF,7.5,37.74
INF084M01127,1061,DP,OMF,7.5,34.54
INF084M01119,1062,DP,OMF,7.5,34.54
INF917K01VS3,131AD,DR,OMF,7.5,12.00
INF917K01VT1,131AP,DP,OMF,7.5,12.00
INF903J01NM5,13PD,DP,OMF,7.5,16.51
INF903J01NN3,14PD,GR,OMF,7.5,176.22
INF209K01SZ6,151ID,DP,GMF,10,100.09
INF903J01PA5,153DP,GR,OMF,7.5,37.45
INF209KB1ZL4,157D,DR,GMF,10,1001.96
INF903J01NR4,157DP,GR,OMF,7.5,35.57
INF209KB1ZC3,157G,GR,GMF,10,1227.81
INF209KB1ZE9,157WD,DR,GMF,10,1000.71
INF209KB1ZH2,157Z,GR,GMF,10,1234.63
INF966L01531,166BFD1,DP,OMF,7.5,46.36
INF966L01549,166BFD1,DR,OMF,7.5,46.36
INF966L01556,166BFDG,GR,OMF,7.5,334.72
INF966L01242,166BFDP,DP,OMF,7.5,43.52
INF966L01259,166BFDP,DR,OMF,7.5,43.52
INF966L01267,166BFGP,GR,OMF,7.5,315.53
INF966L01AD4,166EFG1,GR,OMF,7.5,24.18
INF966L01AB8,166EFGP,GR,OMF,7.5,23.21
INF966L01598,166GFD1,DP,OMF,7.5,58.49
INF966L01606,166GFD1,DR,OMF,7.5,58.49
INF966L01614,166GFDG,GR,OMF,7.5,505.02
INF966L01218,166GFDP,DP,OMF,7.5,54.18
INF966L01226,166GFDP,DR,OMF,7.5,54.18
INF966L01234,166GFGP,GR,OMF,7.5,473.72
INF966L01BF7,166GGDG,GR,GMF,10,10.45
INF966L01BI1,166GGGP,GR,GMF,10,10.39
INF966L01564,166GLD1,DP,OMF,7.5,88.35
INF966L01572,166GLD1,DR,OMF,7.5,88.35
INF966L01580,166GLDG,GR,OMF,7.5,95.86
INF966L01184,166GLDP,DP,OMF,7.5,84.17
INF966L01192,166GLDP,DR,OMF,7.5,84.17
INF966L01200,166GLGP,GR,OMF,7.5,91.74
INF966L01622,166HYD1,DP,OMF,7.5,38.91
INF966L01630,166HYD1,DR,OMF,7.5,38.91
INF966L01648,166HYDG,GR,OMF,7.5,83.51
INF966L01325,166HYDP,DP,OMF,7.5,47.74
INF966L01333,166HYDP,DR,OMF,7.5,47.74
INF966L01341,166HYGP,GR,OMF,7.5,78.34
INF966L01663,166IBD1,DP,OMF,7.5,137.04
INF966L01671,166IBD1,DR,OMF,7.5,137.04
INF966L01689,166IBDG,GR,OMF,7.5,175.30
INF966L01044,166IBDP,DR,OMF,7.5,130.82
INF966L01AA0,166IBGP,GR,OMF,7.5,164.51
INF966L01705,166ISD1,DP,OMF,7.5,26.05
INF966L01713,166ISD1,DR,OMF,7.5,26.05
INF966L01721,166ISDG,GR,OMF,7.5,26.07
INF966L01507,166ISDP,DP,OMF,7.5,24.32
INF966L01515,166ISDP,DR,OMF,7.5,24.32
INF966L01523,166ISGP,GR,OMF,7.5,24.38
INF966L01820,166LFDG,GR,GMF,10,36.93
INF966L01796,166LFDM,DP,GMF,10,15.59
INF966L01812,166LFDM,DR,GMF,10,15.59
INF966L01317,166LFGP,GR,GMF,10,36.17
INF966L01291,166LFMD,DP,GMF,10,15.19
INF966L01309,166LFMD,DR,GMF,10,15.19
INF966L01853,166LSDG,GR,OMF,7.5,66.31
INF966L01374,166LSGP,GR,OMF,7.5,61.66
INF966L01861,166OFD1,DP,OMF,7.5,56.57
INF966L01879,166OFD1,DR,OMF,7.5,56.57
INF966L01887,166OFDG,GR,OMF,7.5,161.06
INF966L01150,166OFDP,DP,OMF,7.5,52.21
INF966L01168,166OFDP,DR,OMF,7.5,52.21
INF966L01176,166OFGP,GR,OMF,7.5,146.89
INF966L01AZ7,166ONDG,GR,GMF,10,10.40
INF966L01BC4,166ONGP,GR,GMF,10,10.39
INF966L01895,166PED1,DP,OMF,7.5,49.73
INF966L01903,166PED1,DR,OMF,7.5,49.73
INF966L01911,166PEDG,GR,OMF,7.5,73.11
INF966L01432,166PEDP,DP,OMF,7.5,48.15
INF966L01440,166PEDP,DR,OMF,7.5,48.15
INF966L01457,166PEGP,GR,OMF,7.5,67.37
INF966L01AL7,166QMD1,DP,OMF,7.5,16.20
INF966L01AM5,166QMD1,DR,OMF,7.5,16.20
INF966L01AK9,166QMDG,GR,OMF,7.5,16.12
INF966L01AI3,166QMDP,DP,OMF,7.5,15.53
INF966L01AJ1,166QMDP,DR,OMF,7.5,15.53
INF966L01AH5,166QMGP,GR,OMF,7.5,15.51
INF966L01960,166TPD1,DP,OMF,7.5,37.48
INF966L01986,166TPDG,GR,OMF,7.5,281.17
INF966L01119,166TPDP,DP,OMF,7.5,35.67
INF966L01135,166TPGP,GR,OMF,7.5,256.83
INF966L01AN3,166VFDG,GR,OMF,7.5,12.75
INF966L01AQ6,166VFGP,GR,OMF,7.5,12.37
INF0GCD01107,185BFDGGR,GR,OMF,7.5,1113.05
INF0GCD01016,185BFRGGR,GR,OMF,7.5,1099.53
